Model,Vehicle Type,Variant Details,Fast Charge Time (Minutes),Range (km),Energy Consumption (kWh/100km),Listed Price ($AUD)
Audi e-tron,Large SUV,2022 Audi e-tron 55 Auto quattro MY23,"85 mins (5%-80% charge, 50kW charger)",459,23.2,
Audi e-tron GT,Large Car,2024 Audi e-tron GT Auto quattro MY24,"23 mins (5%-80% charge, 270kW charger)",540,19.2,182400
BMW 5 Series BEV,Large Car,2024 BMW i5 eDrive40 M Sport G60 Auto,"30 mins (10%-80% charge, 205kW charger)",550,16.5,155900
BMW i4,Medium Car,2024 BMW i4 eDrive40 M Sport G26 Auto,"31 mins (10%-80% charge, 205kW charger)",520,22.2,102900
BMW i7,Large Car,2024 BMW i7 xDrive60 M Sport G70 Auto AWD,"34 mins (10%-80% charge, 195kW charger)",625,22.2,306900
BMW iX,Large SUV,2024 BMW iX xDrive40 Sport I20 Auto AWD,"31 mins (10%-80% charge, 150kW charger)",420,22.5,136900
BMW iX1,Small SUV,2024 BMW iX1 xDrive30 M Sport U11 Auto AWD,"29 mins (10%-80% charge, 130kW charger)",400,18.3,84900
BMW iX3,Medium SUV,2024 BMW iX3 M Sport G08 Auto,"450 mins (0%-100% charge, 11kW charger)",440,21.6,89100
BYD Atto 3,Medium SUV,2024 BYD ATTO 3 Standard Auto,,345,16,48011
BYD Dolphin,Small Car,2024 BYD Dolphin Dynamic Auto,,410,21.6,38890
BYD Seal,Medium Car,2024 BYD Seal Dynamic Auto,,510,13.8,49888
CUPRA Born,Small Car,2024 CUPRA Born Auto MY24,,511,17,59990
Fiat 500e,Small Car,2023 Fiat 500e La Prima Auto MY23,"35 mins (0%-80% charge, 85kW charger)",311,14.4,52500
Ford Mustang Mach-E,Large SUV,2023 Ford Mustang Mach-E Select Auto MY23.75,,470,17.8,72990
GWM Ora,Small Car,2024 GWM Ora Standard Range Auto,"41 mins (10%-80% charge, 80kW charger)",310,16.7,39990
Genesis G80 BEV,Large Car,2023 Genesis G80 Auto AWD MY23,"22 mins (10%-80% charge, 350kW charger)",520,19.1,
Genesis GV60,Small SUV,2023 Genesis GV60 AWD Auto AWD MY23,"18 mins (10%-80% charge, 350kW charger)",470,18.8,106375
Genesis GV70 BEV,Medium SUV,2023 Genesis GV70 Perfomance Auto AWD MY23,"18 mins (10%-80% charge, 350kW charger)",445,19.9,126475
Hyundai Ioniq 5,Medium SUV,2024 Hyundai IONIQ 5 Auto 2WD MY24,"18 mins (10%-80% charge, 800V charger)",451,17.9,65000
Hyundai Ioniq 6,Medium Car,2024 Hyundai IONIQ 6 Auto 2WD MY24,"18 mins (10%-80% charge, 800V charger)",614,14.3,65500
Hyundai Kona BEV,Small SUV,2023 Hyundai Kona Electric Elite Auto MY23,"47 mins (10%-80% charge, 100kW charger)",305,14.3,
Jaguar I-Pace,Large SUV,2024 Jaguar I-PACE EV400 R-Dynamic SE Auto AWD MY24,"765 mins (full charge, 7kW charger)",446,230,147475
Kia EV6,Large SUV,2024 Kia EV6 Air Auto MY24,"18 mins (10%-80% charge, 800V charger)",528,16.5,72590
Kia EV9,Large SUV,2024 Kia EV9 Air Auto MY24,"20 mins (10%-80% charge, 350kW charger)",443,19.5,97000
Kia Niro BEV,Small SUV,2024 Kia Niro EV S Auto 2WD MY24,"45 mins (10%-80% charge, 100kW charger)",460,16.2,66590
LDV Mifa9,People Mover,2024 LDV MIFA 9 Mode Auto MY23,"36 mins (30%-80% charge, 120kW charger)",,,104000
LDV eT60,Ute (2WD),2024 LDV eT60 Auto MY23 Dual Cab,"45 mins (20%-80% charge, 80kW charger)",330,26.9,92990
Lexus RZ,Medium SUV,2023 Lexus RZ RZ450e Luxury Auto,390 mins,470,15.2,121675
Lexus UX BEV,Small SUV,2023 Lexus UX UX300e Luxury Auto FWD,,560,12.8,79900
MG MG4,Small Car,2024 MG MG4 Excite 51 Auto,"40 mins (10%-80% charge, 50kW charger)",405,18.4,38990
MG ZS BEV,Small SUV,2024 MG ZS EV Excite Auto MY23,"54 mins (recharge to 80%, 50kW charger)",360,17.7,40990
MINI Hatch BEV,Small Car,2023 MINI Hatch Cooper SE Resolute Auto,"36 mins (recharge to 80%, 50kW charger)",222,16.8,65325
Mazda MX-30 BEV,Small SUV,2023 Mazda MX-30 E35 Astina DR Series Auto,,224,18.5,66410
Mercedes-Benz EQA,Small SUV,2024 Mercedes-Benz EQA EQA250 Auto,,524,16.2,82300
Mercedes-Benz EQB,Medium SUV,2023 Mercedes-Benz EQB EQB250 Auto,,507,16.7,87734
Mercedes-Benz EQC,Medium SUV,2023 Mercedes-Benz EQC EQC400 Auto 4MATIC,,430,23.8,
Mercedes-Benz EQE,Large Car,2023 Mercedes-Benz EQE EQE300 Auto,,626,16.3,133575
Mercedes-Benz EQE SUV,Large SUV,2023 Mercedes-Benz EQE EQE300 Auto,,539,18.9,134900
Mercedes-Benz EQS,Large Car,2024 Mercedes-Benz EQS EQS450 Auto 4MATIC,,587,23,219900
Mercedes-Benz EQS SUV,Large SUV,2024 Mercedes-Benz EQS EQS450 Auto 4MATIC,,592,20.5,194900
Mercedes-Benz EQV,People Mover,2024 Mercedes-Benz EQV EQV300 Auto,"45 mins (10%-80% charge, 110kW charger)",418,26.3,157450
Mercedes-Benz eVito Tourer,People Mover,2024 Mercedes-Benz eVito Tourer 129 Medium Wheelbase Auto,,,,127018
Mercedes-Benz eVito Van,Van,2024 Mercedes-Benz eVito 112 Medium Wheelbase Auto,,421,26.2,91051
Nissan Leaf,Small Car,2024 Nissan LEAF ZE1 Auto MY23,"60 mins (20%-80% charge, 50kW charger)",311,17.1,50990
Peugeot 2008 BEV,Small SUV,2023 Peugeot e-2008 GT Auto MY23,"30 mins (0%-80% charge, 100kW charger)",328,16.1,59990
Peugeot Partner BEV,Van,2023 Peugeot e-Partner Pro LWB Auto MY23,"30 mins (0%-80% charge, 100kW charger)",258,21.8,59990
Polestar 2,Medium Car,2024 Polestar 2 Standard range Single motor Auto MY24,"34 mins (10%-80% charge, 135kW charger)",625,19.7,67400
Porsche Taycan,Large Car,2023 Porsche Taycan Y1A Auto RWD MY24,"93 mins (5%-80% charge, 50kW charger)",369,28,164400
Renault Kangoo BEV,Van,2024 Renault Kangoo E-Tech L1 EV45 SWB Auto MY24,"360 mins (full charge, 7kW charger)",264,15.9,61990
Tesla Model 3,Medium Car,2024 Tesla Model 3 Rear-Wheel Drive Auto,Up to 282 km added in 15 minutes,513,13.2,61900
Tesla Model Y,Medium SUV,2024 Tesla Model Y Rear-Wheel Drive Auto,Up to 261 km added in 15 minutes,510,14.6,65400
Volvo C40,Small SUV,2024 Volvo C40 Recharge Auto MY24,"27 mins (10%-80% charge, 200kW charger)",445,17.5,78990
Volvo XC40 BEV,Small SUV,2024 Volvo XC40 Recharge Pure Electric Auto MY24,"27 mins (10%-80% charge, 200kW charger)",435,18.3,76990
